Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
7.6000000000000005,0.024790588184452775,0.008230390614526548,0.029825498828073144,0.004074078042543974,0.0036978199766818237,0.0028594669362723636,0.00020794131973304804,0.2986216446412213
7.65,0.024719088096715462,0.008010863945965766,0.02950161627868709,0.0039481971683849645,0.0036878165922891314,0.0027701923426698204,0.00020153310850970296,0.2950575006063677
7.7,0.02464740406878196,0.007798086145319952,0.029179493571470868,0.003825500828776598,0.0036770601122079923,0.0026838544033330556,0.00019528024568284835,0.2915426999058603
7.75,0.024575540202920233,0.007591908782771737,0.028859173306674656,0.0037059586623055035,0.003665554511820976,0.002600352755951347,0.00018918180495470856,0.28807636786448887
7.800000000000001,0.02450350058947095,0.0073921847510714685,0.028540696418569395,0.0035895375852012523,0.003653305999983888,0.002519590556031637,0.00018323667958807302,0.28465765817023636
7.8500000000000005,0.024431289306472807,0.007198768332935173,0.028224102193482217,0.0034762020201230984,0.003640322807395118,0.00244147435215777,0.00017744359632348354,0.2812857513342353
7.9,0.024358910419293067,0.007011515264168049,0.02790942828880298,0.0033659141145874266,0.003626614988608582,0.0023659139656306417,0.0001718011286845852,0.2779598532429808
7.95,0.024286367980263356,0.006830282792633827,0.02759671075289783,0.0032586339492255492,0.003612194236969565,0.0022928223743445813,0.00016630770968071356,0.27467919379756794
8.0,0.024213666028320747,0.006654929733190203,0.027285984045867098,0.0031543197360820578,0.0035970737117839197,0.002222115600758929,0.00016096164391738547,0.27144302563499834
8.05,0.024140808588654094,0.006485316518710446,0.026977281061086704,0.003052928007181424,0.0035812678770613957,0.0021537126038275634,0.00015576111912672062,0.2682506229268545
8.1,0.024067799672355682,0.006321305247310873,0.0266706331474738,0.002954413793605051,0.003564792351203271,0.0020875351747528573,0.00015070421713096304,0.2651012802508904
8.15,0.02399464327607813,0.00616275972590328,0.026366070132419005,0.0028587307953327943,0.003547663767032925,0.002023507836434252,0.00014578892425321543,0.2619943115313204
8.200000000000001,0.023921343381696637,0.006009545510190801,0.026063620345329636,0.002765831542112563,0.003529899641595581,0.0019615577464854265,0.00014101314119027564,0.25892904904381525
8.25,0.023847903955976538,0.005861529941224596,0.025763310641729622,0.0026756675456287757,0.003511518255180053,0.001901614603697619,0.00013637469236307104,0.255904842481425
8.3,0.02377432895024612,0.005718582178637861,0.025465166427863808,0.002588189443245961,0.003492538539041061,0.0018436105578303814,0.0001318713347606643,0.2529210580778535
8.35,0.02370062230007483,0.0055805732306724925,0.02516921168575622,0.0025033471336074237,0.003472979971325471,0.0017874801226146397,0.00012750076629415092,0.24997707778470502
8.4,0.02362678792495677,0.005447375981112262,0.024875468998673097,0.002421089904370902,0.003452862480729672,0.0017331600918564034,0.00012326063367699747,0.24707229849950166
8.450000000000001,0.023552829727999523,0.0053188652132352045,0.024583959576943926,0.0023413665523640353,0.003432206357438312,0.0016805894585330636,0.00011914853984851373,0.24420613134145253
