Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Cs_relativistic
2.6,0.01454095341813949,0.048547170142242475,0.02587264015896132,0.027265178554278867,0.07620276008122193,0.06811069809204434,0.07020413031263921,0.04869582973376862,0.0492843394588941,0.03583481767615549,0.0802789010948955,0.07691547185472199,0.0970795476055649,0.09669651174523017,0.02387003504342889,0.015154726792898825,0.01500983199384041,0.0017660958017712792,2.9951565682457493
2.6500000000000004,0.014537347347014853,0.0484058760238987,0.02587042544939056,0.027262420775362877,0.07488158843049579,0.06789844391304738,0.06995689251873943,0.04867846657553892,0.049265788528570005,0.03417863231182888,0.07715020610273378,0.07365893381950658,0.09467221778198266,0.09422038899951442,0.022355648015044926,0.015051166129803648,0.014824268290680297,0.0016606699485769304,2.9394492016108433
2.7,0.014533673867839129,0.0482623584458225,0.025868088078678794,0.02725951087007381,0.07356079957910587,0.06767720192302078,0.0696994518481729,0.048659715611362675,0.049245761200307714,0.03267544471369591,0.0740716009061662,0.07047012893090815,0.09225150532608312,0.09173401273691396,0.020888542823527572,0.014914270980106118,0.01460237640061641,0.0015567846706207751,2.884110146878745
2.75,0.01452993305241195,0.04811664212940926,0.02586562395768586,0.027256443824473217,0.07224132835503835,0.06744689163119529,0.06943174030064818,0.048639506633282086,0.049224183530294015,0.031317112790681695,0.07104842485260826,0.06735417398823314,0.08982249600235132,0.08924260911311581,0.01947609604698957,0.014743408081732584,0.014345701729306149,0.0014552509810005492,2.829227178550141
2.8000000000000003,0.014526124973819495,0.0479687521011643,0.025863028961934948,0.0272532145856375,0.07092409027257007,0.06720744384623294,0.06915370369396696,0.048617768623554214,0.0492009807975744,0.030095394147862005,0.06808557131052759,0.06431564298510116,0.08739012129117797,0.0867512244361088,0.01812423677989976,0.014538975516484864,0.014056481074049765,0.001356755703034148,2.7748849519400762
2.85,0.014522249706431452,0.04781871368493132,0.02586029893358997,0.027249818064259905,0.06960998065388814,0.06695880080076554,0.0688653017506972,0.048594429893316,0.04917607765416248,0.0290020039442141,0.06518748356416719,0.06135857130361621,0.08495913771550574,0.08426470533525596,0.016837542858911446,0.014302187362960765,0.013737455005705822,0.0012618661878585383,2.7211639420764926
2.9000000000000004,0.014518307325897933,0.047666552494059294,0.025857429683443334,0.02724624913726343,0.06829987380538324,0.06670091624710112,0.06856650814866039,0.04856941822464444,0.04914939827848708,0.02802866827932551,0.06235815436533384,0.05848646380338559,0.08253410924639508,0.081787682186327,0.015619348793490497,0.014034887107173454,0.013391709553470818,0.0011710370674231595,2.668139628514003
2.95,0.014514297909146323,0.047512294423511535,0.02585441699291306,0.02724250265042306,0.06699462224904748,0.06643375552442247,0.06825731053586674,0.04854266101546051,0.04912086653157397,0.027167173063066645,0.059601128841434294,0.055702306385173525,0.08011939266093997,0.07932455563339696,0.014471860482980176,0.01373938732977719,0.013022544022908623,0.0010846183873918522,2.6158818940929054
3.0,0.014510221534378096,0.04735596564192056,0.025851256616048014,0.027238573420995706,0.06569505600925452,0.06615729559788323,0.06793771051063409,0.048514085426721684,0.04909040611535651,0.026409408370352272,0.05691951045152106,0.05300858061242823,0.07771912570317284,0.07687948602778322,0.013396272733702795,0.01341833319875286,0.01263336194379592,0.0010028645956072398,2.5644546082330666
3.0500000000000003,0.014506078281065567,0.047197592583592574,0.025847944281540216,0.027234456240356232,0.06440198195505198,0.06587152507008467,0.06760772356772182,0.048483618531346806,0.04905794073251035,0.025747408326133467,0.05431596967945368,0.050407280982521376,0.07533721788133768,0.07445638558922787,0.012392886404520947,0.013074587357713685,0.012227582337483287,0.0009259439749793638,2.513915367946791
