Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Krypton_relativistic_ready
0.5,0.03820504889657676,0.1735925507086199,0.06393546410060043,0.12787092820120086,0.09948933715836263,0.27392643135526745,0.5478528627105349,0.4026459097265745,0.6039688645898618,0.20895363324544824,0.8821905269553343,1.7643810539106686,5.18701261155905
0.55,0.038200943996761,0.1733420592274182,0.06393500578321118,0.12787001156642236,0.09841547783084839,0.27379026275771884,0.5475805255154377,0.40263522345520336,0.6039528351828051,0.198914218570019,0.8413738450289517,1.6827476900579035,5.0527580989727
0.6000000000000001,0.03819644816083787,0.1730674519842141,0.06393440536870254,0.12786881073740508,0.0972550652426442,0.2736141398316807,0.5472282796633614,0.40261890014501045,0.6039283502175157,0.19062158619360012,0.796004179385266,1.592008358770532,4.90634597570077
0.65,0.03819156144591874,0.17276865923871382,0.06393363647499532,0.12786727294999065,0.09601228486845846,0.27339167475454734,0.5467833495090947,0.40259492723160917,0.6038923908474138,0.18411017408325928,0.7471433804245109,1.4942867608490218,4.750976072677535
0.7000000000000001,0.0381862839317353,0.1724456090038147,0.06393267063955209,0.12786534127910418,0.09469161146730129,0.273116305569159,0.546232611138318,0.40256088401728674,0.6038413260259301,0.17929303435581748,0.6959304069192478,1.3918608138384956,4.589956898185762
0.75,0.03818061572231709,0.1720982292276773,0.06393147737336877,0.12786295474673753,0.09329777994509396,0.27278137118571066,0.5455627423714213,0.40251392770660394,0.6037708915599059,0.17598591338944725,0.6434935965165905,1.286987193033181,4.426466692778055
0.8,0.03817455694722336,0.17172645027055844,0.06393002421773958,0.12786004843547916,0.09183575323508204,0.2723801860747242,0.5447603721494484,0.4024507897756582,0.6036761846634873,0.1739347180143526,0.5908829165022734,1.1817658330045469,4.263377833290573
0.8500000000000001,0.038168107762355276,0.1713302076011837,0.06392827680342418,0.12785655360684836,0.0903106879402103,0.2719061137589395,0.543812227517879,0.40236778288455743,0.6035516743268361,0.1728433874639846,0.539024075812476,1.078048151624952,4.103147247103648
0.9,0.038161268350388654,0.1709094446305545,0.0639261989119771,0.1278523978239542,0.08872789850301491,0.2713526382427583,0.5427052764855166,0.40226081812654696,0.6033912271898204,0.17239978968750672,0.488692973822597,0.977385947645194,3.94776587941983
0.9500000000000001,0.03815403892087675,0.17046411559958485,0.06392375253911706,0.1278475050782341,0.0870928206394456,0.2707134325636773,0.5414268651273546,0.40212543203780887,0.6031881480567133,0.17229797205789688,0.4405069888719134,0.8810139777438268,3.7987550492364495
1.0,0.03814641971007657,0.16999418844001102,0.0639208979601048,0.1278417959202096,0.08541097470668367,0.26998242371227443,0.5399648474245489,0.4019568224823574,0.6029352337235361,0.17225580501853205,0.3949288532052192,0.7898577064104384,3.6571959687139923
1.05,0.03813841098055247,0.16949964753458666,0.0639175937971549,0.1278351875943098,0.08368792958559275,0.26915385324483276,0.5383077064896655,0.4017498922844269,0.6026248384266404,0.17202768129936147,0.3522789619098496,0.7045579238196992,3.523779626966672
1.1,0.03813001302060828,0.16898049631162046,0.06391379708893276,0.12782759417786552,0.08192926755891669,0.2682223330029836,0.5364446660059672,0.4014992993089779,0.6022489489634668,0.17141242687651256,0.3127525577729117,0.6255051155458234,3.398866515634587
1.1500000000000001,0.03812122614359447,0.16843675961944854,0.06390946336218414,0.1278189267243683,0.08014055056733696,0.2671828954541682,0.5343657909083364,0.40119951158773437,0.6017992673816015,0.17025692722614147,0.2764390291602708,0.5528780583205416,3.2825484064557267
1.2000000000000002,0.0381120506871313,0.16786848583762737,0.06390454670552088,0.12780909341104177,0.07832728813465761,0.2660310382712378,0.5320620765424756,0.4008448660483128,0.6012672990724692,0.16845618051021388,0.24334135694810724,0.4866827138962145,3.1747069960650096
1.25,0.038102487012282825,0.16727574869281622,0.06389899984534786,0.12779799969069572,0.0764949071753191,0.2647627628752457,0.5295255257504914,0.40042962941979376,0.6006444441296906,0.1659505789094404,0.2133944400651129,0.4267888801302258,3.075066403696462
