event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
582,3,3,22,2013,662.0,599.8250609257589,62.17493907424114,23.075608212135858,259.63122932612106,-7.4443808580956174,-1.9972154323132112,1.9972154323132112
588,3,3,22,2013,662.0,631.4801976735674,30.51980232643257,15.699618841810473,179.22787109846948,-2.5983453219834005,-0.6970969748143201,0.6970969748143201
606,3,3,22,2013,662.0,289.1587656718925,372.8412343281075,89.730125190396,721.1473599097079,-96.38097630893421,-25.85756652365313,25.85756652365313
615,3,3,22,2013,662.0,256.8487891128088,405.1512108871912,102.56760869786994,760.4019713154529,-107.93411027706364,-28.957098626129785,28.957098626129785
640,4,2,22,2013,662.0,495.24316209742153,166.75683790257847,42.26112927868938,445.23361035954525,-31.227965286475605,-8.377993466315644,8.377993466315644
655,3,3,22,2013,662.0,503.2353538034365,158.7646461965635,40.845634009103726,432.97036294402324,-29.108074053385113,-7.809258528345678,7.809258528345678
666,3,3,22,2013,662.0,627.3285565004246,34.67144349957539,16.796285813516807,191.40597866096957,-3.1400100953131753,-0.8424174877026692,0.8424174877026692
668,3,3,22,2013,662.0,562.507790698914,99.49220930108595,30.291345212386215,334.0352088093478,-14.816526158840261,-3.9750511508996293,3.9750511508996293
687,3,3,22,2013,662.0,588.3283664608491,73.67163353915089,25.399243525083627,284.11222863716756,-9.55141742789448,-2.562501657436183,2.562501657436183
695,3,3,22,2013,662.0,191.64872769348753,470.35127230651244,153.4351994353199,837.8116102632125,-132.0280665035655,-35.42114474605903,35.42114474605903
704,3,3,22,2013,662.0,587.459771575231,74.540228424769,25.570253018547483,285.8954294948289,-9.716984923012292,-2.606920926498584,2.606920926498584
739,4,2,22,2013,662.0,284.24873033448756,377.75126966551244,91.47930067752274,727.1567890312876,-98.1185903704731,-26.32374224535011,26.32374224535011
746,3,3,22,2013,662.0,513.6078187916378,148.39218120836222,39.014993506213735,416.7453960678708,-26.418907271184533,-7.087795521568644,7.087795521568644
753,3,3,22,2013,662.0,644.1467597449557,17.853240255044284,11.873043731849968,136.25237909187447,-1.169518175259595,-0.31376413868711933,0.31376413868711933
761,3,3,22,2013,662.0,450.55779480524126,211.44220519475874,50.37542846841209,510.687065532953,-43.771761819499595,-11.743305436928779,11.743305436928779
784,3,3,22,2013,662.0,450.279284472956,211.72071552704398,50.42759138696978,511.0809829183263,-43.85332396459655,-11.76518733389044,11.76518733389044
792,3,3,22,2013,662.0,294.6061021716992,367.3938978283008,87.85744210024455,714.4606628942548,-94.46109649759136,-25.342491642277242,25.342491642277242
808,3,3,22,2013,662.0,320.1676714038831,341.8323285961169,79.8709210086057,682.7893053528289,-85.5670957079403,-22.95636498235766,22.95636498235766
811,4,2,22,2013,662.0,194.67449749743542,467.3255025025646,148.53806827098867,834.2654074557449,-130.8888661617341,-35.11551442614761,35.11551442614761
817,3,3,22,2013,662.0,388.5063669502211,273.4936330497789,62.83138105204091,595.2383254458008,-62.830439426617346,-16.856462026039026,16.856462026039026
818,3,3,22,2013,662.0,237.72024255351783,424.27975744648217,112.19000673736005,783.3430281551495,-114.90010198528317,-30.825969443760272,30.825969443760272
819,3,3,22,2013,662.0,503.30859971766586,158.69140028233414,40.83268656489717,432.8570499193248,-29.08883496411676,-7.804096970020969,7.804096970020969
822,3,3,22,2013,662.0,429.18697808562047,232.81302191437953,54.45931135161399,540.4963496981395,-50.140390097720775,-13.451912629707937,13.451912629707937
840,4,2,22,2013,662.0,586.5250215908894,75.47497840911058,25.75366377010692,287.8050308186322,-9.89612275747968,-2.6549809135316713,2.6549809135316713
846,3,3,22,2013,662.0,417.37347988730784,244.62652011269216,56.79877107512873,556.6416303258345,-53.75235860602349,-14.420949462094955,14.420949462094955
846,4,3,22,2013,662.0,229.4667937778153,432.53320622218473,129.55463509247568,827.2677657002841,-146.4598461675468,-39.29297419837709,39.29297419837709
864,2,2,22,2013,662.0,375.5179142687342,286.4820857312658,65.72495866089083,612.2548917986226,-67.02385069794065,-17.981491207749315,17.981491207749315
900,3,3,22,2013,662.0,240.27488995463844,421.7251100453616,110.78269181780709,780.2911069263778,-113.96461365720334,-30.574991993626444,30.574991993626444
906,3,3,22,2013,662.0,516.751069140033,145.248930859967,38.460874556690506,411.75398311635115,-25.618374245735772,-6.873024549612803,6.873024549612803
913,2,2,22,2013,662.0,221.16662034625764,440.8333796537423,122.5862526114793,803.0347574086053,-120.99918827130607,-32.46226257352512,32.46226257352512
916,4,2,22,2013,662.0,283.75479866275924,378.24520133724076,91.65866281229597,727.7604025548319,-98.293756611285,-26.370736713532025,26.370736713532025
916,5,2,22,2013,662.0,278.0083028677606,383.9916971322394,106.0943811529545,785.8579657795971,-143.24040584532224,-38.429246775301216,38.429246775301216
917,3,3,22,2013,662.0,484.27593665467185,177.72406334532815,44.215631327799734,461.75691439592055,-34.201388510702486,-9.175718201713398,9.175718201713398
924,3,3,22,2013,662.0,501.1839607131641,160.81603928683592,41.208415782983394,436.1369510418556,-29.64831098484215,-7.9541959727320934,7.9541959727320934
931,3,3,22,2013,662.0,589.5647245022228,72.43527549777718,25.154837126243795,281.5591639181123,-9.317244650335871,-2.499676622811699,2.499676622811699
937,3,3,22,2013,662.0,399.8077438532829,262.1922561467171,60.41000091277085,580.2626072616881,-59.23542784240172,-15.891974481378801,15.891974481378801
945,3,3,22,2013,662.0,607.2821184057526,54.71788159424739,21.49502022399187,242.72536387963473,-6.16731443580184,-1.6545977163052439,1.6545977163052439
