Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
29.700000000000003,0.0032574165986537337,0.0005830285176953166,0.00014160260314958085,8.928358042002299e-05,2.139909937619072e-05,3.0329927238767896e-07,2.714509751818687e-06,0.008843215111168472
29.75,0.003240447424855597,0.0005794478603744219,0.00014013650072004655,8.872216986158191e-05,2.117969455127253e-05,2.989583002154207e-07,2.6973891467084173e-06,0.008790819053959979
29.8,0.003223568279041055,0.0005758893886834329,0.00013868703833215982,8.816431532382824e-05,2.096275163929177e-05,2.9468488950779195e-07,2.6803772611472997e-06,0.008738769932081569
29.85,0.0032067787175779966,0.000572352984862556,0.00013725401177290867,8.760999776772422e-05,2.0748240809493746e-05,2.9047790536361257e-07,2.6634735132780245e-06,0.00868706516847788
29.900000000000002,0.0031900782983827853,0.0005688385313022476,0.0001358372195065365,8.705919816874077e-05,2.0536132616893603e-05,2.863362333328535e-07,2.6466773216244088e-06,0.00863570220810308
29.950000000000003,0.003173466580924199,0.0005653459105541209,0.00013443646263747925,8.651189751903717e-05,2.032639799701157e-05,2.822587790232646e-07,2.6299881051602757e-06,0.008584678517697054
30.0,0.0031569431262272025,0.0005618750053415787,0.0001330515448738379,8.596807682958486e-05,2.0119008260683128e-05,2.782444677150453e-07,2.613405283376572e-06,0.008533991585564385
30.05,0.0031405074968765497,0.0005584256985701767,0.0001316822724913774,8.542771713223633e-05,1.99139350889429e-05,2.742922439833836e-07,2.5969282763467462e-06,0.008483638921356028
30.1,0.0031241592570202376,0.0005549978733377249,0.0001303284542980462,8.489079948174063e-05,1.971115052798141e-05,2.7040107132869585e-07,2.5805565047904457e-06,0.00843361805585365
30.150000000000002,0.0031078979723727857,0.0005515914129441276,0.00012898990159900645,8.435730495770577e-05,1.9510626984173372e-05,2.6656993181439576e-07,2.5642893901355304e-06,0.008383926540756596
30.200000000000003,0.0030917232102183664,0.0005482062009009696,0.00012766642816216877,8.382721466650969e-05,1.9312337219176656e-05,2.6279782571203426e-07,2.5481263545784607e-06,0.008334561948471464
30.25,0.00307563453941378,0.0005448421209408527,0.00012635785018422357,8.33005097431604e-05,1.9116254345100863e-05,2.590837711536506e-07,2.5320668211430843e-06,0.008285521871904213
30.3,0.00305963153039127,0.0005414990570264858,0.00012506398625716138,8.27771713531062e-05,1.8922351819744395e-05,2.554268037911776e-07,2.516110213737845e-06,0.008236803924254809
30.35,0.0030437137551611996,0.0005381768933595351,0.00012378465733527586,8.225718069399752e-05,1.873060344189923e-05,2.518259764627532e-07,2.500255957211459e-06,0.008188405738814354
30.400000000000002,0.003027880787314567,0.0005348755143892366,0.00012251968670264093,8.174051899740056e-05,1.854098334672216e-05,2.4828035886578554e-07,2.484503477407073e-06,0.008140324968764653
30.450000000000003,0.003012132202025381,0.0005315948048207764,0.0001212688999410561,8.122716753046403e-05,1.83534660011717e-05,2.4478903723662957e-07,2.4688522012149426e-06,0.00809255928698019
30.5,0.0029964675760528916,0.0005283346496234435,0.00012003212489845274,8.071710759754006e-05,1.8168026199509667e-05,2.413511140367336e-07,2.4533015566236594e-06,0.008045106385832515
30.55,0.0029808864877436717,0.0005250949340385573,0.00011880919165775391,8.021032054175963e-05,1.7984639058866402e-05,2.3796570764511474e-07,2.4378509727699436e-06,0.007997963976996921
30.6,0.0029653885170335707,0.000521875543587177,0.00011759993250618243,7.97067877465643e-05,1.7803280014868916e-05,2.3463195205703297e-07,2.4224998799870587e-06,0.007951129791261488
30.650000000000002,0.0029499732454495173,0.0005186763640775942,0.00011640418190500878,7.920649063719396e-05,1.7623924817330763e-05,2.313489965887256e-07,2.4072477098518388e-06,0.007904601578338388
30.700000000000003,0.0029346402561111927,0.0005154972816126133,0.0001152217764597336,7.870941068213247e-05,1.7446549526002965e-05,2.2811600558807747e-07,2.3920938952303797e-06,0.007858377106677408
30.75,0.002919389133732568,0.0005123381825966254,0.00011405255489069799,7.821552939451146e-05,1.7271130506385004e-05,2.249321581510991e-07,2.377037870322419e-06,0.007812454163281741
30.8,0.002904219464623305,0.0005091989537424765,0.00011289635800411471,7.772482833347308e-05,1.7097644425594944e-05,2.2179664784408702e-07,2.3620790707044158e-06,0.007766830553525913
30.85,0.002889130836690036,0.0005060794820781376,0.00011175302866351549,7.723728910549313e-05,1.6926068248298045e-05,2.1870868243135128e-07,2.3472169333713804e-06,0.007721504100975898
30.900000000000002,0.002874122839437505,0.000502979654953177,0.00011062241176160645,7.67528933656645e-05,1.6756379232692734e-05,2.1566748360838597e-07,2.332450896777452e-06,0.00767647264721135
30.950000000000003,0.002859195063969588,0.0004998993600450398,0.000109504354192527,7.627162281894234e-05,1.658855492655327e-05,2.1267228674037034e-07,2.3177804008752706e-06,0.007631734051649902
31.0,0.0028443471029901872,0.0004968384853651399,0.00010839870482450574,7.579345922135147e-05,1.6422573163328268e-05,2.097223406058883e-07,2.303204887154157e-06,0.0075872861913735745
