E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,203.55512561541127,458.44487438458873,30.0,496.2648411063392,60.075618116304405,60.075618116304405
662.0,553.1126317327792,108.88736826722084,30.0,331.6155694651257,0.5315305851144769,0.5315305851144769
662.0,390.6328043820229,271.3671956179771,30.0,378.06285945269025,47.68921370274814,47.68921370274814
662.0,173.31658617949995,488.68341382050005,30.0,519.1866571484616,59.39410803372174,59.39410803372174
662.0,287.59302819402745,374.40697180597255,30.0,437.2579469231819,58.7330645195418,58.7330645195418
662.0,199.19852288454436,462.80147711545567,30.0,499.5192813011158,60.009618080215944,60.009618080215944
662.0,647.5969066151114,14.40309338488862,30.0,339.2340198348371,-39.685014547513106,39.685014547513106
662.0,236.82671188377904,425.173288116221,30.0,471.99704158913795,60.17859626989277,60.17859626989277
662.0,331.70242247764,330.29757752236,30.0,409.79830407362385,55.526141169435256,55.526141169435256
662.0,281.272106367205,380.727893632795,30.0,441.4141372175788,59.0334026558221,59.0334026558221
662.0,634.9524758035866,27.047524196413406,30.0,336.6911650653363,-34.15140079208741,34.15140079208741
662.0,223.37897467114533,438.62102532885467,30.0,481.6761305752685,60.2261336147388,60.2261336147388
